fffaf81a-39c1-202b-8a4a-00304854f801;Allobates ranoides;Animalia;Chordata;Amphibia;Anura;Aromobatidae;Allobates;ranoides;species;Boulenger, 1918;Rana saltona de Villavicencio
fffaf81a-39c1-202b-8a4a-00304854f802;Atelopus eusebianus;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;eusebianus;species;Rivero y Granados, 1993;Sapito arlequín de Malvasa
fffaf81a-39c1-202b-8a4a-00304854f803;Atelopus farci;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;farci;species;Lynch, 1993;Sapito arlequín de Albán
fffaf81a-39c1-202b-8a4a-00304854f804;Atelopus ignescens;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;ignescens;species;Cornalia, 1849;Sapito arlequín de Nariño
fffaf81a-39c1-202b-8a4a-00304854f805;Atelopus lozanoi;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;lozanoi;species;Osorno-Muñoz, Ardila-Robayo y Ruíz-Carranza, 2001;Sapito arlequín de La Calera
fffaf81a-39c1-202b-8a4a-00304854f806;Atelopus ebenoides;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;ebenoides;species;Rivero, 1963;Sapito arlequín negro
fffaf81a-39c1-202b-8a4a-00304854f807;Atelopus minutulus;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;minutulus;species;Ruíz-Carranza, Hernandez-Camacho y Ardila-Robayo, 1988;Sapito arlequín camuflado
fffaf81a-39c1-202b-8a4a-00304854f808;Atelopus muisca;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;muisca;species;Rueda-Almonacid y Hoyos, 1992;Sapito arlequín esmeralda
fffaf81a-39c1-202b-8a4a-00304854f809;Atelopus pedimarmoratus;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;pedimarmoratus;species;Rivero, 1963;Sapito arlequín de Gachalá
fffaf81a-39c1-202b-8a4a-00304854f810;Atelopus sernai;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;sernai;species;Ruíz-Carranza y Osorno Muñoz, 1994;Sapito arlequín de Serna
fffaf81a-39c1-202b-8a4a-00304854f811;Atelopus subornatus;Animalia;Chordata;Amphibia;Anura;Bufonidae;Atelopus;subornatus;species;Werner,1899;Sapito arlequín vientre de fuego
fffaf81a-39c1-202b-8a4a-00304854f812;Osornophryne percrassa;Animalia;Chordata;Amphibia;Anura;Bufonidae;Osornophryne;percrassa;species;Ruíz-Carranza y Hernández-Camacho, 1976;Sapito de páramo
fffaf81a-39c1-202b-8a4a-00304854f813;Rhinella macrorhina;Animalia;Chordata;Amphibia;Anura;Bufonidae;Rhinella;macrorhina;species;Trueb, 1971;Sapo trompudo de Antioquia
fffaf81a-39c1-202b-8a4a-00304854f814;Rhinella rostrata;Animalia;Chordata;Amphibia;Anura;Bufonidae;Rhinella;rostrata;species;Noble, 1920;Sapo picudo de Mesopotamia
fffaf81a-39c1-202b-8a4a-00304854f815;Rhinella truebae;Animalia;Chordata;Amphibia;Anura;Bufonidae;Rhinella;truebae;species;Lynch y Renjifo, 1990;Sapo picudo de Trueb
fffaf81a-39c1-202b-8a4a-00304854f816;Centrolene ballux;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Centrolene;ballux;species;Duellman y Burrowes, 1989;Rana de cristal de punticos de oro
fffaf81a-39c1-202b-8a4a-00304854f817;Centrolene buckleyi;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Centrolene;buckleyi;species;Boulenger, 1882;Rana de cristal de Pichincha
fffaf81a-39c1-202b-8a4a-00304854f818;Centrolene daidaleum;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Centrolene;daidaleum;species;Ruíz-Carranza and Lynch, 1991;Rana de cristal punteada
fffaf81a-39c1-202b-8a4a-00304854f819;Centrolene geckoideum;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Centrolene;geckoideum;species;Jiménez de la Espada, 1872;Rana de cristal de las rocas gigante
fffaf81a-39c1-202b-8a4a-00304854f820;Centrolene heloderma;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Centrolene;heloderma;species;Duellman, 1981;Rana de cristal de Pichincha
fffaf81a-39c1-202b-8a4a-00304854f821;Centrolene peristictum;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Centrolene;peristictum;species;Lynch y Duellman, 1973;Rana de cristal moteada
fffaf81a-39c1-202b-8a4a-00304854f822;Centrolene petrophilum;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Centrolene;petrophilum;species;Ruíz-Carranza y Lynch, 1991;Rana de cristal de las rocas
fffaf81a-39c1-202b-8a4a-00304854f823;Centrolene quindianum;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Centrolene;quindianum;species;Ruíz-Carranza y Lynch, 1995;Rana de cristal del Quindío
fffaf81a-39c1-202b-8a4a-00304854f824;Cochranella balionota;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Cochranella;balionota;species;Duellman, 1981;Ranita de cristal de Mindo
fffaf81a-39c1-202b-8a4a-00304854f825;Cochranella xanthocheridia;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Cochranella;xanthocheridia;species;Ruíz-Carranza y Lynch, 1995;Rana de cristal verde oliva
fffaf81a-39c1-202b-8a4a-00304854f826;Espadarana audax;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Espadarana;audax;species;Lynch y Duellman, 1973;Rana de cristal de Napo
fffaf81a-39c1-202b-8a4a-00304854f827;Hyalinobatrachium esmeralda;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Hyalinobatrachium;esmeralda;species;Ruíz-Carranza y Lynch, 1998;Rana de cristal de Boyacá
fffaf81a-39c1-202b-8a4a-00304854f828;Hyalinobatrachium ibama;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Hyalinobatrachium;ibama;species;Ruíz-Carranza y Lynch, 1998;Rana de cristal de la princesa Ibama
fffaf81a-39c1-202b-8a4a-00304854f829;Ikakogi tayrona;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Ikakogi;tayrona;species;Ruíz-Carranza y Lynch, 1991;Rana de cristal de la sierra nevada
fffaf81a-39c1-202b-8a4a-00304854f830;Nymphargus armatus;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;armatus;species;Lynch y Ruíz-Carranza, 1996;Rana de cristal armada
fffaf81a-39c1-202b-8a4a-00304854f831;Nymphargus garciae;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;garciae;species;Ruíz-Carranza y Lynch, 1995;Ranita de cristal de garcia
fffaf81a-39c1-202b-8a4a-00304854f832;Nymphargus griffithsi;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;griffithsi;species;Goin, 1961;Rana de cristal de Ecuador
fffaf81a-39c1-202b-8a4a-00304854f833;Nymphargus luminosus;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;luminosus;species;Ruíz-Carranza y Lynch, 1995;Rana de cristal luminosa
fffaf81a-39c1-202b-8a4a-00304854f834;Nymphargus megacheirus;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;megacheirus;species;Lynch y Duellman, 1973;Rana de cristal de puntos oscuros
fffaf81a-39c1-202b-8a4a-00304854f835;Nymphargus posadae;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;posadae;species;Ruíz-Carranza y Lynch, 1995;Rana de cristal de Posada
fffaf81a-39c1-202b-8a4a-00304854f836;Nymphargus prasinus;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;prasinus;species;Duellman, 1981;Rana de cristal del río Calima
fffaf81a-39c1-202b-8a4a-00304854f837;Nymphargus rosada;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;rosada;species;Ruíz-Carranza y Lynch, 1997;Rana de cristal rosada
fffaf81a-39c1-202b-8a4a-00304854f838;Nymphargus ruizi ;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;ruizi;species;Lynch, 1993;Ranita de cristal de ruiz
fffaf81a-39c1-202b-8a4a-00304854f839;Nymphargus siren;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Nymphargus;siren;species;Lynch y Duellman, 1973;Rana de cristal del río Coca
fffaf81a-39c1-202b-8a4a-00304854f840;Rulyrana adiazeta;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Rulyrana;adiazeta;species;Ruíz-Carranza y Lynch, 1991;Rana de cristal de cascada
fffaf81a-39c1-202b-8a4a-00304854f841;Rulyrana susatamai;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Rulyrana;susatamai;species;Ruíz-Carranza y Lynch, 1995;Rana de cristal de Susatama
fffaf81a-39c1-202b-8a4a-00304854f842;Sachatamia punctulata;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Sachatamia;punctulata;species;Ruíz-Carranza y Lynch, 1995;Rana de cristal de cascada
fffaf81a-39c1-202b-8a4a-00304854f843;Niceforonia adenobrachia;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Niceforonia;adenobrachia;species;Ardila-Robayo, Ruíz-Carranza y Barrera-Rodríguez, 1996;Ranita fortachona
fffaf81a-39c1-202b-8a4a-00304854f844;Pristimantis actinolaimus;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;actinolaimus;species;Lynch y Rueda-Almonacid, 1998;rana de lluvia de ojos rojos y amarillos
fffaf81a-39c1-202b-8a4a-00304854f845;Pristimantis acutirostris;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;acutirostris;species;Lynch, 1984;Rana de lluvia picuda
fffaf81a-39c1-202b-8a4a-00304854f846;Pristimantis bernali;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;bernali;species;Lynch, 1986;Rana de lluvia de Bernal
fffaf81a-39c1-202b-8a4a-00304854f847;Pristimantis carranguerorum;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;carranguerorum;species;Lynch, 1994;Rana de lluvia carranguera
fffaf81a-39c1-202b-8a4a-00304854f848;Pristimantis fallax;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;fallax;species;Lynch y Rueda-Almonacid, 1999;Rana de lluvia gargantimanchada
fffaf81a-39c1-202b-8a4a-00304854f849;Pristimantis fetosus;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;fetosus;species;Lynch y Rueda-Almonacid, 1998;Rana de lluvia camuflada
fffaf81a-39c1-202b-8a4a-00304854f850;Pristimantis jorgevelosai;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;jorgevelosai;species;Lynch, 1994;Rana de lluvia de Velosa
fffaf81a-39c1-202b-8a4a-00304854f851;Pristimantis maculosus;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;maculosus;species;Lynch, 1991;Rana de lluvia manchada
fffaf81a-39c1-202b-8a4a-00304854f852;Pristimantis mnionaetes;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;mnionaetes;species;Lynch, 1998;Rana de lluvia del musgo
fffaf81a-39c1-202b-8a4a-00304854f853;Pristimantis phragmipleuron;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;phragmipleuron;species;Rivero y Serna, 1988;Rana ladrona de azúcar
fffaf81a-39c1-202b-8a4a-00304854f854;Pristimantis renjiforum;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;renjiforum;species;Lynch, 2000;Rana de lluvia de Renjifo
fffaf81a-39c1-202b-8a4a-00304854f855;Pristimantis repens;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;repens;species;Lynch, 1984;Rana de lluvia del Galeras
fffaf81a-39c1-202b-8a4a-00304854f856;Pristimantis scoloblepharus;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;scoloblepharus;species;Lynch, 1991;Rana de lluvia cejuda
fffaf81a-39c1-202b-8a4a-00304854f857;Pristimantis spilogaster;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;spilogaster;species;Lynch, 1984;Rana de lluvia de Guanentá
fffaf81a-39c1-202b-8a4a-00304854f858;Pristimantis suetus;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;suetus;species;Lynch y Rueda-Almonacid, 1998;Rana de lluvia minúscula
fffaf81a-39c1-202b-8a4a-00304854f859;Pristimantis torrenticola;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;torrenticola;species;Lynch y Rueda-Almonacid, 1998;Rana de lluvia de los torrentes
fffaf81a-39c1-202b-8a4a-00304854f860;Pristimantis veletis;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristimantis;veletis;species;Lynch y Rueda-Almonacid, 1997;Rana de lluvia camuflada
fffaf81a-39c1-202b-8a4a-00304854f861;Pristrimantis lichenoides;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Pristrimantis;lichenoides;species;Lynch y Rueda-Almonacid, 1997;Rana de lluvia camuflada
fffaf81a-39c1-202b-8a4a-00304854f862;Prstimantis tribulosus;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Prstimantis;tribulosus;species;Lynch y Rueda-Almonacid, 1997;Rana de lluvia ornamentada
fffaf81a-39c1-202b-8a4a-00304854f863;Strabomantis ingeri;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Strabomantis;ingeri;species;Cochran y Goin, 1961;Rana cabezona de Inger
fffaf81a-39c1-202b-8a4a-00304854f864;Strabomantis necopinus;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Strabomantis;necopinus;species;Lynch, 1997;Rana cabezona de la Cordillera Central
fffaf81a-39c1-202b-8a4a-00304854f865;Strabomantis ruizi;Animalia;Chordata;Amphibia;Anura;Craugastoridae;Strabomantis;ruizi;species;Lynch, 1981;Rana de lluvia de Ruiz
fffaf81a-39c1-202b-8a4a-00304854f866;Ameerega ingeri;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Ameerega;ingeri;species;Cochran y Goin, 1970;Rana venenosa de Inger
fffaf81a-39c1-202b-8a4a-00304854f867;Andinobates bombetes;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Andinobates;bombetes;species;Myers y Daly, 1980;Rana venenosa del Cauca
fffaf81a-39c1-202b-8a4a-00304854f868;Andinobates viridis;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Andinobates;viridis;species;Myers y Daly, 1976;Rana venenosa del Anchicayá
fffaf81a-39c1-202b-8a4a-00304854f869;Hyloxalus edwardsi;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus;edwardsi;species;Lynch, 1982;Rana saltona de Edwards
fffaf81a-39c1-202b-8a4a-00304854f870;Hyloxalus ruizi;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus;ruizi;species;Lynch, 1982;Rana saltona Anómala
fffaf81a-39c1-202b-8a4a-00304854f871;Oophaga lehmanni;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Oophaga;lehmanni;species;Myers y Daly, 1976;Rana venenosa de Lehmann
fffaf81a-39c1-202b-8a4a-00304854f872;Oophaga occultator;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Oophaga;occultator;species;Myers y Daly, 1976;Rana venenosa del Saija
fffaf81a-39c1-202b-8a4a-00304854f873;Phyllobates terribilis;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Phyllobates;terribilis;species;Myers, Daly y Malkin, 1978;Rana venenosa dorada
fffaf81a-39c1-202b-8a4a-00304854f874;Gastrotheca espeletia;Animalia;Chordata;Amphibia;Anura;Hemiphractidae;Gastrotheca;espeletia;species;Duellman y Hillis, 1987;Rana marsupial de La Cocha
fffaf81a-39c1-202b-8a4a-00304854f875;Gastrotheca ruizi;Animalia;Chordata;Amphibia;Anura;Hemiphractidae;Gastrotheca;ruizi;species;Duellman y Burrowes, 1986;Rana marsupial de Ruiz
fffaf81a-39c1-202b-8a4a-00304854f876;Hemiphractus johnsoni;Animalia;Chordata;Amphibia;Anura;Hemiphractidae;Hemiphractus;johnsoni;species;Noble, 1917;Rana cornuda de Johnson
fffaf81a-39c1-202b-8a4a-00304854f877;Hyla nicefori;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyla;nicefori;species;Cochran y Goin, 1970;Falsa rana marsupial de Boyacá
fffaf81a-39c1-202b-8a4a-00304854f878;Ecnomiohyla phantasmagoria;Animalia;Chordata;Amphibia;Anura;Hylidae;Ecnomiohyla;phantasmagoria;species;Dunn, 1943;Rana planeadora gigante
fffaf81a-39c1-202b-8a4a-00304854f879;Atopophrynus syntomopus;Animalia;Chordata;Amphibia;Anura;Leptodactylidae;Atopophrynus;syntomopus;species;Lynch y Ruíz-Carranza, 1982;Rana de pies pequeños
fffaf81a-39c1-202b-8a4a-00304854f880;Bolitoglossa capitana;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Bolitoglossa;capitana;species;Brame y Wake, 1963;Salamandra de Albán
fffaf81a-39c1-202b-8a4a-00304854f881;Bolitoglossa lozanoi;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Bolitoglossa;lozanoi;species;Acosta-Galvis y Restrepo, 2001;Salamandra corpulenta café
fffaf81a-39c1-202b-8a4a-00304854f882;Bolitoglossa pandi;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Bolitoglossa;pandi;species;Brame y Wake, 1963;Salamandra de Pandi