id_registro;nombreCientifico;kingdom;phylum;clase;orden;family;genus;specificEpithet;rango;autor;nombreComun
cffad81a-75e1-102b-3a4a-45304854f801;Compsoneura anoriensis;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Compsoneura;anoriensis;especie;Compsoneura anoriensis;Castaño de Anorí
cffad81a-75e1-102b-3a4a-45304854f802;Compsoneura claroensis;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Compsoneura;claroensis;especie;Compsoneura claroensis;Castaño de río Claro
cffad81a-75e1-102b-3a4a-45304854f803;Compsoneura cuatrecasasii;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Compsoneura;cuatrecasasii;especie;Compsoneura cuatrecasasii;Castaño del Pacífico
cffad81a-75e1-102b-3a4a-45304854f804;Iryanthera megistocarpa;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Iryanthera;megistocarpa;especie;Iryanthera megistocarpa;Sota
cffad81a-75e1-102b-3a4a-45304854f805;Iryanthera megistophylla;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Iryanthera;megistophylla;especie;Iryanthera megistophylla;Cuángare de Loma
cffad81a-75e1-102b-3a4a-45304854f806;Otoba acuminata;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Otoba;acuminata;especie;Otoba acuminata;Otobo
cffad81a-75e1-102b-3a4a-45304854f807;Otoba gordoniifolia;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Otoba;gordoniifolia;especie;No disponible;No disponible
cffad81a-75e1-102b-3a4a-45304854f808;Otoba gracilipes;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Otoba;gracilipes;especie;No disponible;No disponible
cffad81a-75e1-102b-3a4a-45304854f809;Otoba latialata;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Otoba;latialata;especie;No disponible;No disponible
cffad81a-75e1-102b-3a4a-45304854f810;Otoba lehmannii;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Otoba;lehmannii;especie;Otoba lehmannii;Cuángare otobo
cffad81a-75e1-102b-3a4a-45304854f811;Virola dixonii;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Myristicaceae;Virola;dixonii;especie;Virola dixonii;Cuángare de Dixon
cffad81a-75e1-102b-3a4a-45304854f812;Podocarpus guatemalensis;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Podocarpaceae;Podocarpus;guatemalensis;especie;Chaquiro dulce;No disponible
cffad81a-75e1-102b-3a4a-45304854f813;Podocarpus oleifolius;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Podocarpaceae;Podocarpus;oleifolius;especie;Pino colombiano;No disponible
cffad81a-75e1-102b-3a4a-45304854f814;Prumnopitys harmsiana;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Podocarpaceae;Prumnopitys;harmsiana;especie;Pino chaquiro;No disponible
cffad81a-75e1-102b-3a4a-45304854f815;Prumnopitys montana;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Podocarpaceae;Prumnopitys;montana;especie;Pino de montaña;No disponible
cffad81a-75e1-102b-3a4a-45304854f816;Retrophyllum rospigliosii;Plantae;Magnoliophyta;Equisetopsida;Magnoliales;Podocarpaceae;Retrophyllum;rospigliosii;especie;No disponible;No disponible